Species	AphisID	ImageLink	Group
Hymeniacidon perlevis	132663	https://www.meerwasser-lexikon.de/imgHaupt/34417_BTLpz8HaaZ.jpg	Demospongiae
Smaragdia viridis	140570	https://www.meerwasser-lexikon.de/imgHaupt/59184_5d66c057dca7c.jpg	Gastropoda
Philine aperta	140744	http://www.animalbase.uni-goettingen.de/animalbaseimage/Philine-aperta_01.jpg	Gastropoda
Ensis leei	876640	https://images.marinespecies.org/thumbs/57190_ensis-leei.jpg?w=700	Bivalvia
Tritia coralligena	890055	http://www.idscaro.net/sci/04_med/pictures/fam3/tritia_coralligena1_jmmartin.jpg	Gastropoda
Cyrillia linearis	1389226	http://www.idscaro.net/sci/04_med/pictures/fam3/cyrillia_linearis2.jpg	Gastropoda
Antalis panorma	196378	https://images.marinespecies.org/thumbs/56654_antalis-panorma.jpg?w=700	Scaphopoda
Pecten jacobaeus	394429	https://upload.wikimedia.org/wikipedia/commons/a/ac/Pecten_jacobaeus_von_aussen.jpg	Bivalvia
Oscarella balibaloi	564911	https://images.marinespecies.org/thumbs/39935_oscarella-balibaloi.jpg?w=700	Homoscleromorpha
Edmundsella pedata	1047602	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flabellina_pedata_%28Montagu%2C_1815%29.jpg/1280px-Flabellina_pedata_%28Montagu%2C_1815%29.jpg	Gastropoda
Sarcotragus fasciculatus	165081	https://www.mer-littoral.org/02/photos/sarcotragus-fasciculatus-0m.jpg	Demospongiae
Arca noae	138788	https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Arca_noae_0001.jpg/1920px-Arca_noae_0001.jpg	Bivalvia
Mimachlamys varia	236719	https://www.meerwasser-lexikon.de/imgHaupt/29452_XWMDsUuhUN.jpg	Bivalvia
Cadulus jeffreysi	140005	https://images.marinespecies.org/thumbs/62149_cadulus-jeffreysi.jpg?w=700	Scaphopoda
Semicassis granulata	419784	https://www.meerwasser-lexikon.de/imgHaupt/38154_x3p7RxVnen.jpg	Gastropoda
