code	|	taxid	|	primary taxid	|	taxname
1	|	219412	|	219412	|	Thalassoma quinquevittatum
1	|	223860	|	223860	|	Raja radula
1	|	229057	|	229057	|	Lagocephalus sceleratus
1	|	246622	|	246622	|	Alphestes afer
1	|	253866	|	253866	|	Bathysolea profundicola
1	|	270552	|	270552	|	Epigonus denticulatus
1	|	282281	|	282281	|	Pseudodistoma crucigaster
1	|	286149	|	286149	|	Aplidium conicum
1	|	286150	|	286150	|	Pseudodistoma cyrnusense
1	|	286151	|	286151	|	Aplidium elegans
1	|	292051	|	292051	|	Gobius fallax
1	|	296138	|	296138	|	Gymnothorax unicolor
1	|	303126	|	303126	|	Nezumia aequalis
1	|	303482	|	303482	|	Tripterygion melanurum
1	|	303685	|	303685	|	Balistes capriscus
1	|	309632	|	309632	|	Epinephelus costae
1	|	316130	|	316130	|	Centrolophus niger
1	|	327798	|	327798	|	Paranthias furcifer
1	|	327800	|	327800	|	Mycteroperca rubra
1	|	327801	|	327801	|	Cephalopholis taeniops
1	|	327821	|	327821	|	Anthias anthias
1	|	334382	|	334382	|	Cepola macrophthalma
1	|	338314	|	338314	|	Sphyraena viridensis
1	|	338887	|	338887	|	Scorpaena porcus
1	|	349640	|	349640	|	Parapristipoma octolineatum
1	|	349642	|	349642	|	Plectorhinchus mediterraneus
1	|	349654	|	349654	|	Epigonus telescopus
1	|	349660	|	349660	|	Serranus atricauda
1	|	349661	|	349661	|	Serranus scriba
1	|	349662	|	349662	|	Trachinus radiatus
1	|	349663	|	349663	|	Chelidonichthys obscurus
1	|	349666	|	349666	|	Phycis phycis
1	|	357811	|	357811	|	Apogon imberbis
1	|	357812	|	357812	|	Serranus hepatus
1	|	391202	|	391202	|	Bathyuroconger vicinus
1	|	391214	|	391214	|	Nettastoma melanurum
1	|	406073	|	406073	|	Pycnoclavella communis
1	|	406077	|	406077	|	Pycnoclavella nana
1	|	426094	|	426094	|	Chelidonichthys cuculus
1	|	426095	|	426095	|	Trigloporus lastoviza
1	|	426099	|	426099	|	Gaidropsarus biscayensis
1	|	428428	|	428428	|	Callanthias ruber
1	|	430081	|	430081	|	Aulopus filamentosus
1	|	430082	|	430082	|	Lepidotrigla cavillone
1	|	430084	|	430084	|	Trigla lyra
1	|	432168	|	432168	|	Scorpaena elongata
1	|	441897	|	441897	|	Gobius cruentatus
1	|	472766	|	472766	|	Stomias boa
1	|	473301	|	473301	|	Ceratoscopelus maderensis
1	|	473325	|	473325	|	Notacanthus bonaparte
1	|	490288	|	490288	|	Stromateus fiatola
1	|	490316	|	490316	|	Centracanthus cirrus
1	|	508554	|	508554	|	Labrus mixtus
1	|	509777	|	509777	|	Paralepis coregonoides
1	|	569432	|	569432	|	Microcosmus sabatieri
1	|	569433	|	569433	|	Pyura dura
1	|	579944	|	579944	|	Gobius geniporus
1	|	579948	|	579948	|	Chromogobius quadrivittatus
1	|	581068	|	581068	|	Distomus variolosus
1	|	586774	|	586774	|	Anampses lineatus
1	|	630732	|	630732	|	Hymenocephalus italicus
1	|	648166	|	648166	|	Etmopterus spinax
1	|	651723	|	651723	|	Pteroplatytrygon violacea
1	|	721939	|	721939	|	Synodus synodus
1	|	722564	|	722564	|	Gymnothorax vicinus
1	|	875791	|	875791	|	Naucrates ductor
1	|	1003166	|	1003166	|	Peristedion cataphractum
1	|	1016941	|	1016941	|	Oxynotus centrina
1	|	1176749	|	1176749	|	Lepidotrigla dieuzeidei
1	|	1176751	|	1176751	|	Synchiropus phaeton
3	|	1206975
1	|	1209401	|	1209401	|	Lampanyctus pusillus
1	|	1247390	|	1247390	|	Didemnum fulgens
1	|	1256662	|	1256662	|	Aplidium tabarquensis
1	|	1306636	|	1306636	|	Scorpaena loppei
1	|	1311496	|	1311496	|	Scorpaenodes albaiensis
1	|	1365585	|	1365585	|	Thorogobius ephippiatus
1	|	1426793	|	1426793	|	Trachinus araneus
1	|	1491482	|	1491482	|	Carapus acus
1	|	1579277	|	1579277	|	Mobula mobular
1	|	1984842	|	1984842	|	Halichoeres vrolikii
1	|	2170621	|	2170621	|	Polycarpa mamillaris
1	|	2576622	|	2576622	|	Chelidonichthys lucerna
1	|	2740763	|	2740763	|	Lepadogaster candolii
