Species	AphisID	ImageLink	Group
Raja clavata	105883	https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Raja_clavata_%28juv%29.jpg/450px-Raja_clavata_%28juv%29.jpg	Elasmobranchii
Epinephelus costae	127034	https://adriaticnature.com/wp-content/uploads/2016/02/Epinephelus-costae-2.jpg	Actinopteri
Seriola dumerili	126816	https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Seriola_dumerili_by_NPS.jpg/450px-Seriola_dumerili_by_NPS.jpg	Actinopteri
Synodus synodus	126373	https://www.meerwasser-lexikon.de/imgHaupt/39946_mG8GtkqtMr.jpg	Actinopteri
Gadella maraldi	126488	https://www.fishbase.se/images/species/Gamar_u1.jpg	Actinopteri
Parablennius pilicornis	126773	https://www.fishbase.se/images/species/Papil_u2.jpg	Actinopteri
Stromateus fiatola	127076	https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Stromateus_fiatola.jpg/450px-Stromateus_fiatola.jpg	Actinopteri
Microchirus ocellatus	274302	https://www.meerwasser-lexikon.de/imgHaupt/20356_S3DUdmcfKa.jpg	Actinopteri
Pagellus erythrinus	127060	https://upload.wikimedia.org/wikipedia/commons/9/9c/Pagellus_erythrinus_RO.jpg	Actinopteri
Epinephelus caninus	127033	https://www.fishbase.se/images/species/Epcan_u0.jpg	Actinopteri
Cepola macrophthalma	126835	https://www.meerwasser-lexikon.de/imgHaupt/18530_NYeEWqgd78.jpg	Actinopteri
Lampanyctus crocodilus	126612	https://adriaticnature.com/wp-content/uploads/2015/12/Lampanyctus-crocodilus-2.jpg	Actinopteri
Centrolophus niger	126831	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Centrolophus_niger_France_1.jpg/1024px-Centrolophus_niger_France_1.jpg	Actinopteri
Trisopterus minutus	126446	https://www.fishbase.se/images/species/Trmin_u3.jpg	Actinopteri
Phycis blennoides	126501	https://innspubnet.files.wordpress.com/2017/06/phycis.jpg	Actinopteri
Sphyraena viridensis	127069	https://adriaticnature.com/wp-content/uploads/2016/03/Sphyraena-viridensis-2.jpg	Actinopteri
Balistes capriscus	154721	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Grauer_Dr%C3%BCckerfisch.jpg/1024px-Grauer_Dr%C3%BCckerfisch.jpg	Actinopteri
Pycnoclavella communis	422931	https://www.mer-littoral.org/32/photos/pycnoclavella-communis-0m.jpg	Ascidiacea
Halocynthia papillosa	103827	https://upload.wikimedia.org/wikipedia/commons/c/cc/BU_Bio.jpg	Ascidiacea
Ophidion barbatum	126675	https://www.meerwasser-lexikon.de/imgHaupt/20495_T6rBz1aUz8.jpg	Actinopteri
Microlipophrys nigriceps	712842	https://www.meerwasser-lexikon.de/imgHaupt/26353_d834Ke9UUL.jpg	Actinopteri
Glossanodon leioglossus	126717	http://collections.nmnh.si.edu/media/index.php?irn=10146074&width=320	Actinopteri
Labrus mixtus	151501	https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Labrus_bimaculatus.jpg/450px-Labrus_bimaculatus.jpg	Actinopteri
Serranus cabrilla	127041	https://upload.wikimedia.org/wikipedia/commons/1/16/Cabrilla_reina.jpg	Actinopteri
Aplidium elegans	103643	https://www.meerwasser-lexikon.de/imgHaupt/27622_PzgxYUSZJe.jpg	Ascidiacea
Branchiostoma lanceolatum	104906	https://upload.wikimedia.org/wikipedia/commons/4/47/Branchiostoma_lanceolatum.jpg?20090114132347	Leptocardii
Phallusia mammillata	103724	https://www.meerwasser-lexikon.de/imgHaupt/37215_kPX6vxmzf4.jpg	Ascidiacea
Gobius geniporus	126891	https://www.fishbase.se/images/species/Gogen_u0.jpg	Actinopteri
Umbrina steindachneri	273803	https://www.fishbase.se/images/species/Umste_u0.jpg	Actinopteri
Chelidonichthys obscurus	127263	https://www.fishbase.se/images/species/Chobs_u0.jpg	Actinopteri
Aplidium conicum	103641	https://www.meerwasser-lexikon.de/imgHaupt/51065_5896015deafe2.jpg	Ascidiacea
Polycarpa mamillaris	103906	https://www.mer-littoral.org/32/photos/polycarpa-mamillaris-0m.jpg	Ascidiacea
Synodus intermedius	158759	https://upload.wikimedia.org/wikipedia/commons/6/68/Synodus_intermedius.jpg	Actinopteri
Lepidotrigla dieuzeidei	127265	https://www.fishbase.se/images/species/ledie_u0.jpg	Actinopteri
