
code	|	name	|	preferred name	|	taxid
1	|	Cerithiopsis minima	|	 	|	1202151
1	|	Petrosia ficiformis	|	 	|	68564
1	|	Bolinus brandaris	|	 	|	179646
1	|	Clathrina coriacea	|	 	|	1031551
1	|	Creseis acicula	|	 	|	356499
1	|	Trapania maculata	|	 	|	2909347
1	|	Bivetiella cancellata	|	 	|	543397
1	|	Lepidochitona cinerea	|	 	|	256056
1	|	Barbatia barbata	|	 	|	120367
1	|	Modiolus adriaticus	|	 	|	1934918
1	|	Sepiola rondeletii	|	 	|	638795
1	|	Chiton magnificus	|	 	|	541230
1	|	Rissoa violacea	|	 	|	696274
1	|	Loligo vulgaris	|	 	|	6622
1	|	Bittium reticulatum	|	 	|	2219155
1	|	Loripes orbiculatus	|	 	|	2003426
1	|	Flexopecten flexuosus	|	 	|	717727
1	|	Lithophaga lithophaga	|	 	|	112135
1	|	Mitrella scripta	|	 	|	1838194
1	|	Callochiton septemvalvis	|	 	|	256138
1	|	Abra alba	|	 	|	399303
3	|	Parachiton africanus	|	 	|	 
3	|	Sepiella ornata	|	 	|	 
1	|	Fabulina fabula	|	 	|	2589387
1	|	Patella ulyssiponensis	|	 	|	334708
1	|	Chamelea gallina	|	 	|	138984
1	|	Venerupis corrugata	|	 	|	1028563
1	|	Octopus hubbsorum	|	 	|	1367629
1	|	Dosinia lupinus	|	 	|	138987
1	|	Oscarella lobularis	|	 	|	121494
3	|	Rhyssoplax corallina	|	 	|	 
1	|	Peltodoris atromaculata	|	 	|	120394
3	|	Galeodea rugosa	|	 	|	 
1	|	Sarcotragus spinosulus	|	 	|	1088795
1	|	Axinella damicornis	|	 	|	72671
1	|	Varicorbula gibba	|	 	|	228466
1	|	Tellimya ferruginosa	|	 	|	1411926
1	|	Nucula hanleyi	|	 	|	2589379
3	|	Chauvetia recondita	|	 	|	 
1	|	Felimare picta	|	 	|	1564611
1	|	Phorbas fictitius	|	 	|	748450
1	|	Cliona viridis	|	 	|	76786
1	|	Phaxas pellucidus	|	 	|	211859
1	|	Lucinoma borealis	|	 	|	244482
1	|	Clausinella fasciata	|	 	|	380098
3	|	Mitromorpha olivoidea	|	 	|	 
1	|	Octopus cyanea	|	 	|	34525
1	|	Mactra stultorum	|	 	|	1582885
1	|	Euspira nitida	|	 	|	489456
1	|	Astarte fusca	|	 	|	1582110
1	|	Gibbula magus	|	 	|	703304
1	|	Caecum trachea	|	 	|	1273215
1	|	Bela nebula	|	 	|	2268697
1	|	Macomangulus tenuis	|	 	|	1980407
1	|	Myosotella myosotis	|	 	|	252580
1	|	Moerella donacina	|	 	|	1980402
1	|	Crambe crambe	|	 	|	3722
1	|	Aplysina aerophoba	|	 	|	289389
1	|	Bolma rugosa	|	 	|	335776
1	|	Notocochlis dillwynii	|	 	|	489473
1	|	Geodia cydonium	|	 	|	6047
1	|	Rapana venosa	|	 	|	55521
1	|	Patella ferruginea	|	 	|	87961
